id,school_dbn,school_name,year,regents_exam,total_tested,mean_score,percent_65_or_above
326,01M515,Lower East Side Preparatory High School,2017,Chinese,63,90.07937,100.0
327,01M515,Lower East Side Preparatory High School,2017,Common Core Algebra,155,77.02581,82.58064
328,01M515,Lower East Side Preparatory High School,2017,Common Core Algebra 2,56,76.0,82.14286
329,01M515,Lower East Side Preparatory High School,2017,Common Core English,141,74.30496,85.815605
330,01M515,Lower East Side Preparatory High School,2017,Common Core Geometry,124,73.72581,79.03226
331,01M515,Lower East Side Preparatory High School,2017,Global History and Geography,190,71.63684,67.89474
332,01M515,Lower East Side Preparatory High School,2017,Living Environment,131,77.740456,87.78626
333,01M515,Lower East Side Preparatory High School,2017,Earth Science,106,84.037735,95.28302
334,01M515,Lower East Side Preparatory High School,2017,US History and Government,136,81.19853,88.97059
335,01M515,Lower East Side Preparatory High School,2018,Chinese,92,88.48913,96.73913
336,01M515,Lower East Side Preparatory High School,2018,Common Core Algebra,168,68.833336,66.07143
337,01M515,Lower East Side Preparatory High School,2018,Common Core Algebra 2,61,78.36066,90.16393
338,01M515,Lower East Side Preparatory High School,2018,Common Core English,180,62.677776,61.11111
339,01M515,Lower East Side Preparatory High School,2018,Common Core Geometry,124,73.3629,71.77419
340,01M515,Lower East Side Preparatory High School,2018,Global History and Geography,210,72.76667,74.7619
341,01M515,Lower East Side Preparatory High School,2018,Living Environment,175,75.32,78.85714
342,01M515,Lower East Side Preparatory High School,2018,Chemistry,14,81.64286,85.71429
343,01M515,Lower East Side Preparatory High School,2018,Earth Science,98,79.80612,85.71429
344,01M515,Lower East Side Preparatory High School,2018,Spanish,31,90.41936,96.77419
345,01M515,Lower East Side Preparatory High School,2018,US History and Government,179,74.41899,78.21229
346,01M515,Lower East Side Preparatory High School,2019,Chinese,35,89.25714,100.0
347,01M515,Lower East Side Preparatory High School,2019,Common Core Algebra,158,68.01266,64.55696
