schools,id
22K207: P.S. 207 Elizabeth G. Leary,642
22K234: J.H.S. 234 Arthur W. Cunningham,643
22K240: Andries Hudde,644
22K278: J.H.S. 278 Marine Park,645
22K381: I. S. 381,646
22K405: Midwood High School,647
22K425: James Madison High School,648
22K535: Leon M. Goldstein High School for the Sciences,649
22K555: Brooklyn College Academy,650
22K611: Origins High School,651
22K630: Professional Pathways High School,652
22K890: M.S. 890,653
23K137: P.S. | I.S. 137 Rachel Jean Mitchell,654
23K155: P.S. | I.S. 155 Nicholas Herkimer,655
23K178: P.S. 178 Saint Clair Mckelway,656
"23K284: The Gregory Jocko Jackson School of Sports, Art, and Technology",657
23K363: Brownsville Collaborative Middle School,658
23K392: I.S. 392,659
23K493: Brooklyn Collegiate: A College Board School,660
23K514: Frederick Douglass Academy VII High School,661
23K518: Kappa V (Knowledge and Power Preparatory Academy),662
23K522: Mott Hall IV,663
23K643: Brooklyn Democracy Academy,664
23K644: Eagle Academy for Young Men II,665
23K646: Aspirations Diploma Plus High School,666
23K647: Metropolitan Diploma Plus High School,667
23K664: Brooklyn Environmental Exploration School (BEES),668
23K668: Riverdale Avenue Middle School,669
23K671: Mott Hall Bridges Academy,670
23K697: Teachers Preparatory High School,671
24Q005: I.S. 5 - The Walter Crowley Intermediate School,672
24Q049: P.S. 049 Dorothy Bonawit Kole,673
24Q061: I.S. 061 Leonardo Da Vinci,674
24Q073: I.S. 73 - The Frank Sansivieri Intermediate School,675
24Q077: Joseph F. Quinn Intermediate School 77,676
24Q087: P.S. | I.S. 087 Middle Village,677
24Q093: I.S. 093 Ridgewood,678
24Q102: P.S. 102 Bayview,679
24Q113: P.S. | I.S. 113 Anthony J. Pranzo,680
24Q119: P.S. | I.S. 119 The Glendale,681
24Q125: I.S. 125 Thom J. McCann Woodside,682
"24Q128: P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",683
24Q236: International High School for Health Sciences,684
24Q264: Academy of Finance and Enterprise,685
24Q267: High School of Applied Communication,686
24Q293: Civic Leadership Academy,687
24Q296: Pan American International High School,688
24Q299: Bard High School Early College Queens,689
